DomntHnd,FavColor,NumColors,TeamSprt,IndvSprt,SchoolClb,MusicInstrument,BreakfastDrink,FavCookie,FavPizzaTop,DinnerDrink,FavIceCream,FavSeason,SleepHrs,NumOthrCourse,Height,ShoeSize,ShirtSize,AimGrde,FnlGrade
Right,Blue,12,Fencing,Track,none,None,Coffee,ChocKrinkle,Pepperoni,Water,Mocha,Fall,5.5,4,5.8,8.5,LG,A,F
Right,Blue,11,VolleyBall,Golf,Computer,Cello,Tea,Crumpets,PlainCheese,Cola,Chocolate,Fall,5.5,4,5.8,9.5,LG,B,F
Right,Blue,11,Cricket,Golf,Computer,None,Tea,Crumpets,PlainCheese,Cola,MintChip,Summer,6.0,5,5.8,9.0,MD,B,D
Right,Blue,12,Cricket,Golf,Computer,None,Tea,Crumpets,Mushrooms,Coffee,MintChip,Fall,5.5,4,5.8,8.5,MD,A,D
Right,Magenta,12,DodgeBall,Pool,none,Vocal,PruneJuice,PeanutButter,Peppers,Papaya,Pecan,Autumn,5.5,5,6.0,8.5,XL,A,D
Right,Cyan,12,Equestrian,Archery,Debate,None,Smoothie,Oatmeal,Olives,MilkShake,CreamSicle,Spring,5.5,4,6.2,11.0,XL,A,D
Right,Green,12,Badminton,RockClimbing,ModelUN,Bass,OJ,ChocChip,Pepperoni,Coffee,Mocha,Summer,5.5,4,5.8,7.5,SM,A,D
Right,Blue,12,Badminton,RockClimbing,Math,Bass,OJ,RiceKrispy,Ham,Milk,Vanilla,Summer,5.0,4,6.0,10.0,LG,B,D
Right,Blue,12,Soccer,Badminton,none,None,OJ,RiceKrispy,Pineapples,Water,Chocolate,Spring,6.0,4,7.0,12.5,XXL,B,D
Right,Blue,13,Cricket,Golf,Computer,Cello,Tea,PeanutButter,Mushrooms,Tea,MintChip,Fall,5.5,5,5.8,9.0,LG,A,D
Right,Yellow,12,VolleyBall,Track,none,Guitar,OJ,RiceKrispy,Pineapples,Water,Chocolate,Summer,5.5,5,6.5,12.5,XL,A,D
Right,Green,12,Badminton,RockClimbing,Chess,Bass,OJ,ChocChip,PlainCheese,Milk,Vanilla,Summer,5.5,5,5.5,8.5,LG,B,D
Left,Blue,12,Soccer,Golf,Computer,Cello,Tea,Crumpets,Mushrooms,Cola,Mocha,Fall,5.5,4,6.5,11.5,XL,A,D
Right,Yellow,12,Parkour,Pool,none,Piano,PruneJuice,PeanutButter,Peppers,Coffee,Pecan,Autumn,5.5,5,5.0,7.5,SM,A,D
Right,Yellow,12,Parkour,Pool,Photography,None,PruneJuice,Oatmeal,Peppers,Papaya,Pecan,Autumn,6.5,4,5.8,8.5,MD,A,D
Right,Blue,12,VolleyBall,none,Chess,None,Fruit,RiceKrispy,Anchovies,Water,Chocolate,Spring,6.0,4,6.5,11.5,XL,B,D
Right,Magenta,12,Fencing,Wrestling,none,None,Coffee,ChocKrinkle,PlainCheese,Coffee,Chocolate,Summer,6.0,6,6.0,12.0,XL,A,D
Right,Blue,12,DodgeBall,Badminton,none,Vocal,OJ,RiceKrispy,Pineapples,Milk,Chocolate,Spring,5.5,4,5.5,8.5,LG,B,D
Right,Blue,12,none,Swimming,ModelUN,None,OJ,Fortune,Pineapples,Milk,Chocolate,Spring,5.5,4,6.0,9.0,LG,A,D
Right,Blue,12,Badminton,Golf,ModelUN,Euphonium,OJ,ChocChip,Ham,Milk,Vanilla,Summer,4.5,4,6.0,9.0,LG,A,D
Right,Blue,12,DodgeBall,Wrestling,none,Drums,Water,Oatmeal,PlainCheese,Tea,Ripple,Winter,5.5,4,5.8,8.5,LG,A,D
Left,Blue,11,CheerLdng,Track,Debate,None,Coffee,ChocKrinkle,Anchovies,FruitJuice,Pecan,Summer,5.5,5,5.2,8.0,SM,A,D
Right,Blue,11,Fencing,Swimming,none,None,Coffee,ChocKrinkle,Pepperoni,Milk,Chocolate,Spring,6.0,4,5.0,7.0,SM,B,D
Right,Yellow,12,DodgeBall,Wrestling,Chess,None,Water,Oatmeal,Sausage,Tea,Ripple,Winter,5.5,5,6.2,9.5,LG,B,D
Right,Green,11,Badminton,RockClimbing,ModelUN,Bass,OJ,RiceKrispy,Ham,Tea,Vanilla,Spring,5.5,4,5.5,9.5,LG,A,D
Right,Red,12,DodgeBall,Wrestling,none,Drums,Water,Oatmeal,Broccoli,Tea,Ripple,Winter,5.5,3,5.5,9.0,LG,B,D
Right,Black,12,DodgeBall,Wrestling,Chess,Viola,Water,Oatmeal,Ham,RootBeer,Ripple,Winter,6.5,4,5.8,9.5,XL,A,D
Right,Red,11,none,none,Math,Harp,Tea,Crumpets,Ham,GrapeJuice,Vanilla,Summer,5.5,4,6.0,10.0,LG,A,D
Right,Red,12,Equestrian,Track,Debate,Euphonium,Smoothie,Butter,Olives,Cola,CreamSicle,Spring,6.5,3,5.8,10.5,LG,A,D
Right,Magenta,12,Parkour,Pool,none,Piano,PruneJuice,PeanutButter,Ham,Papaya,Pecan,Autumn,8.0,4,5.5,9.0,LG,A,D
Right,Green,12,none,Track,none,Viola,Nada,ChocChip,Ham,LemonLime,Vanilla,Summer,5.5,3,5.8,10.5,LG,A,D
Right,Red,12,AmFtBall,none,Robotics,Violin,Nada,ChocKrinkle,Bacon,Water,Vanilla,Autumn,6.5,4,5.8,11.0,LG,A,D
Right,Red,12,none,none,none,Harp,Coffee,ChocKrinkle,Ham,Cola,CreamSicle,Summer,6.5,4,6.0,9.5,XL,A,D
Right,Red,11,AmFtBall,none,Robotics,Piano,Coffee,ChocKrinkle,Bacon,Cola,Chocolate,Autumn,5.5,4,5.8,9.0,LG,A,D
Right,Orange,12,VolleyBall,none,none,Viola,Coffee,ChocKrinkle,Bacon,FruitJuice,Ripple,Summer,5.5,4,5.5,7.0,SM,A,D
Right,Red,12,AmFtBall,none,Robotics,Violin,Coffee,Sugar,Bacon,Water,Ripple,Autumn,6.0,4,6.0,11.0,XL,B,D
Right,Green,11,DodgeBall,Wrestling,Chess,Drums,Soda,Sugar,Sausage,Tea,Ripple,Winter,6.5,4,5.2,9.5,MD,A,D
Right,Red,13,none,none,Math,Viola,Coffee,ChocKrinkle,Broccoli,Cola,Strawberry,Fall,5.5,4,6.0,10.5,XL,A,D
Right,Red,12,VolleyBall,none,none,None,Coffee,ChocKrinkle,Broccoli,RootBeer,Vanilla,Summer,6.5,4,5.8,10.5,LG,A,D
Right,Green,12,Badminton,RockClimbing,ModelUN,Bass,Tea,ChocChip,Ham,RootBeer,Vanilla,Summer,7.0,4,5.2,8.0,SM,A,D
Right,Green,12,AmFtBall,none,Robotics,Violin,Nada,ChocKrinkle,Bacon,Water,Chocolate,Summer,7.0,4,5.5,9.0,LG,A,D
Right,Magenta,11,Parkour,Pool,none,Piano,PruneJuice,PeanutButter,Peppers,Papaya,Ripple,Summer,7.0,4,5.5,10.5,LG,A,D
Right,Pink,12,none,none,none,Violin,Coffee,ChocKrinkle,Ham,LemonLime,Vanilla,Spring,7.0,4,5.8,9.5,LG,A,D
Right,Red,12,none,none,Math,Viola,Tea,Crumpets,Bacon,LemonLime,CreamSicle,Autumn,5.5,4,5.2,8.0,SM,B,D
Right,Red,11,none,none,Robotics,Violin,Coffee,ChocKrinkle,Bacon,Water,Ripple,Autumn,5.5,4,6.5,12.0,XXL,A,D
Right,Magenta,12,Parkour,Pool,Photography,Piano,PruneJuice,PeanutButter,Peppers,Cola,Vanilla,Summer,6.0,5,5.5,9.5,LG,A,D
Left,Green,11,none,none,none,Bass,OJ,ChocChip,Ham,Milk,Vanilla,Summer,8.0,4,5.0,7.0,SM,A,D
Right,Green,12,none,none,none,Piano,Fruit,ChocKrinkle,Pineapples,RootBeer,Vanilla,Autumn,6.5,4,6.0,11.0,LG,B,D
Right,Cyan,11,Equestrian,Track,Debate,Euphonium,Smoothie,Sugar,Pineapples,MilkShake,Vanilla,Spring,6.5,3,5.8,10.0,LG,A,D
Right,Pink,12,AmFtBall,none,Robotics,Harp,Coffee,ChocChip,Bacon,Water,Chocolate,Autumn,5.5,4,6.0,9.0,LG,A,D
Right,Red,12,none,none,none,Bass,Coffee,ChocKrinkle,Broccoli,RootBeer,CreamSicle,Winter,6.0,4,5.8,9.0,LG,A,D
Right,Red,12,AmFtBall,none,Robotics,Harp,Coffee,ChocKrinkle,Bacon,Water,Chocolate,Winter,6.0,4,5.8,11.0,LG,A,D
Right,Red,11,none,none,none,Violin,Coffee,ChocKrinkle,Ham,Cola,Ripple,Summer,7.0,4,5.5,7.5,SM,A,D
Right,Magenta,12,Parkour,Pool,Photography,Piano,PruneJuice,PeanutButter,Ham,Cola,Pecan,Fall,5.5,3,5.8,10.5,LG,A,D
Right,Green,12,none,RockClimbing,ModelUN,Bass,Coffee,ChocChip,Ham,Milk,Vanilla,Fall,7.0,4,5.0,6.5,SM,A,D
Right,Red,12,none,none,Robotics,Violin,Soda,ChocKrinkle,Bacon,Water,Chocolate,Summer,6.5,5,6.2,11.5,XL,A,D
Right,Green,12,none,none,Debate,Piano,OJ,Sugar,Pineapples,RootBeer,Ripple,Fall,7.0,4,5.8,9.0,LG,A,D
Right,Green,12,none,none,none,Violin,Coffee,ChocKrinkle,Bacon,RootBeer,Vanilla,Autumn,6.5,4,6.0,10.0,LG,B,D
Right,Blue,12,none,Golf,Computer,Cello,Tea,Crumpets,Ham,Cola,MintChip,Winter,5.0,4,5.8,8.5,MD,A,D
Right,Red,13,none,none,none,Piano,Coffee,ChocKrinkle,Bacon,Cola,Vanilla,Winter,6.5,4,5.8,9.5,LG,A,D
Right,Red,12,Equestrian,Track,Debate,Euphonium,Smoothie,DoubleChoc,Bacon,MilkShake,CreamSicle,Spring,5.5,5,5.2,8.5,MD,A,D
Right,Red,11,none,none,Robotics,Violin,Coffee,ChocKrinkle,Ham,Water,Vanilla,Autumn,7.0,4,6.0,11.0,LG,A,D
