ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
 1,     9,     5,     9,     7,     0,     1,     1,     2,     2,     0,     2,     2,     8,     3,     9,     0,     1,     1,     7,     5
 2,     4,     1,     2,     4,     4,     6,     3,     1,     8,    10,     2,     6,     7,     3,     0,     1,     8,     8,    10,     6
 3,     1,     1,     6,     4,     8,     0,     7,     4,     3,     7,     3,     4,     1,     1,     2,     7,     6,     0,     1,     1
 4,     7,     5,     7,     4,     8,     7,     7,     1,     3,     4,     8,     8,     8,     9,     2,     0,     7,     8,     6,     8
 5,     1,     3,     7,     7,     0,     0,     8,     6,     4,     6,     8,     1,     8,     2,     0,     1,     3,     0,     8,     1
 6,     9,     4,     5,     6,     2,     0,     1,     1,     3,     0,     1,     3,     8,     2,     8,     0,     1,     1,     9,     8
 7,     2,     2,     6,     5,     0,     0,     9,     7,     4,     5,     5,     1,     8,     2,     0,     0,     3,     1,     6,     2
 8,    10,     6,     7,     5,     6,     4,     9,     1,     7,     5,     4,     7,     4,     6,     3,     1,     6,     7,     6,     8
 9,     2,     6,     9,     6,     3,     2,     5,     3,     5,     8,     9,     6,    10,     1,     1,     1,     0,     1,     5,     6
10,     0,     1,     4,     5,     0,     2,     4,     7,     3,     6,     5,     0,     6,     3,     3,     0,     1,     1,     7,     5
11,     9,     3,     6,     4,     0,     1,     0,     2,     4,     0,     3,     0,     7,     3,    10,     1,     0,     2,     6,     4
12,     8,     4,     9,     6,     8,     6,     6,     2,     3,     3,     8,     8,     6,     6,     1,     0,     4,     9,     6,     6
13,     3,     4,     4,     2,     7,     1,     4,     2,     4,     6,     4,     2,     2,     2,     0,     8,     3,     1,     2,     1
14,     1,     3,     6,     7,     8,     1,     6,     3,     3,     8,     0,     4,     2,     1,     1,     9,     2,     1,     0,     1
15,     5,     2,     2,     4,     4,     4,     3,     2,    10,     7,     2,     3,     7,     1,     0,     3,     7,     8,    10,     9
16,     2,     3,     6,     3,     6,     1,     4,     2,     3,     4,     3,     1,     1,     2,     2,     8,     1,     2,     1,     0
17,     8,     4,     7,     6,     0,     0,     0,     4,     3,     0,     2,     2,     8,     2,     9,     1,     0,     0,     8,     6
18,     5,     3,     0,     5,     3,     5,     7,     2,     9,     6,     4,     5,    10,     2,     0,     0,     5,     8,     9,     9
19,     2,     7,     7,     5,     4,     0,     4,     1,     4,     8,     9,     4,     7,     1,     0,     0,     0,     2,     8,     3
20,     2,     2,     7,     5,     2,     1,     9,     8,     6,     6,     3,     2,     9,     0,     2,     2,     0,     1,     6,     1
21,     3,     5,     5,     3,     9,     0,     7,     1,     5,     9,     3,     1,     1,     2,     0,     7,     5,     1,     3,     2
22,     7,     1,     0,     3,     3,     7,     7,     3,     8,     9,     2,     5,     9,     2,     2,     1,     7,     7,     7,     4
23,     1,     3,     4,     6,     4,     0,     6,     9,     6,     7,     3,     5,     9,     2,     0,     2,     2,     1,     6,     6
24,     4,     1,     6,     7,     8,     1,     5,     0,     5,     6,     2,     1,     1,     1,     0,    10,     2,     2,     0,     1
25,     7,     3,     0,     5,     2,     4,     7,     3,     7,     3,     4,     5,     9,     0,     0,     2,     8,     8,     9,     9
26,     8,     4,     7,     7,     0,     1,     1,     0,     8,     1,     0,     2,     7,     0,     6,     1,     3,     1,     8,     8
27,     6,     4,     8,     4,     1,     2,     2,     4,     4,     1,     2,     0,     8,     1,     6,     0,     0,     1,     7,     7
28,     1,     6,     7,     6,     1,     1,     6,     6,     6,     7,     6,     0,     8,     1,     1,     1,     2,     0,     5,     1
29,    10,     5,     5,     7,     0,     1,     1,     2,     3,     1,     0,     0,     6,     1,     8,     0,     1,     0,     8,     8
30,     3,     2,     7,     5,     7,     1,     2,     0,     3,     7,     0,     2,     3,     2,     1,     9,     1,     0,     4,     3
31,    10,     5,     9,     4,     8,     7,     6,     1,     7,     6,     8,     8,     7,     8,     0,     0,     2,     4,     9,     7
32,     9,     5,     6,     4,     7,     9,     5,     2,     3,     4,     9,     8,     6,     9,     1,     1,     6,     8,     7,     6
33,     7,     6,     8,     3,     8,     4,     5,     1,     5,     3,     9,     9,     6,     5,     0,     0,     4,    10,     7,    10
34,     5,     1,     0,     3,     1,     5,     5,     1,     8,     9,     3,     9,     9,     2,     1,     3,     5,     8,     8,     7
35,     4,     2,     1,     5,     0,     5,     3,     0,     7,    10,     1,     5,    10,     2,     0,     0,     6,     8,     8,    10
36,     1,     7,     7,     6,     4,     0,     3,     1,     3,     8,     8,     3,     6,     3,     0,     0,     0,     2,     7,     8
37,     4,     5,     6,     7,     2,     2,     6,     8,     5,     6,     7,     0,     8,     2,     2,     0,     4,     1,     8,     1
